index,price,brand,model,year,title_status,mileage,color,vin
667,63200,chevrolet,corvette,2016,clean vehicle,4266,red,  1g1ys2d6xg5609979
668,36800,chevrolet,door,2015,clean vehicle,32332,white,  1gc1kweg8ff170135
669,19500,chevrolet,passenger,2018,clean vehicle,44333,white,  1gazgpfg7j1254194
670,38800,chevrolet,tahoe,2019,clean vehicle,36198,blue,  1gnskbkc0kr335691
671,37500,chevrolet,tahoe,2019,clean vehicle,33331,silver,  1gnskbkc1kr164515
672,35000,chevrolet,suburban,2019,clean vehicle,43082,gray,  1gnskhkcxkr306962
673,31100,chevrolet,camaro,2019,clean vehicle,24561,gray,  1g1fh1r7xk0140397
674,22600,chevrolet,van,2019,clean vehicle,13485,white,  1gcwgafgxk1242467
675,22400,chevrolet,van,2019,clean vehicle,15524,white,  1gcwgafg5k1221297
676,22700,chevrolet,van,2019,clean vehicle,8996,white,  1gcwgafg9k1240337
677,13700,chevrolet,malibu,2019,clean vehicle,47282,silver,  1g1zd5st4kf126371
678,37100,chevrolet,suburban,2019,clean vehicle,34470,black,  1gnskhkcxkr288236
679,18500,chevrolet,colorado,2018,clean vehicle,87264,green,  1gcgtcen5j1157983
680,18300,chevrolet,2500,2017,clean vehicle,114344,white,  1gc2kveg3hz159933
681,19000,chevrolet,2500,2017,clean vehicle,111635,white,  1gc2kveg1hz262672
682,18500,chevrolet,1500,2017,clean vehicle,103955,white,  3gcukrec0hg249327
683,22500,chevrolet,door,2016,clean vehicle,66640,white,  3gcukrec5gg277008
684,14500,chevrolet,door,2014,clean vehicle,122018,white,  3gcukrec6eg373324
685,32800,chevrolet,tahoe,2018,clean vehicle,46915,gray,  1gnskbkc9jr370082
686,12300,chevrolet,malibu,2018,clean vehicle,53599,black,  1g1zd5stxjf140841
687,19600,chevrolet,1500,2018,clean vehicle,41672,gray,  1gcvkreh7jz295386
688,13600,chevrolet,malibu,2018,clean vehicle,36047,white,  1g1zd5st5jf249837
689,7200,chevrolet,spark,2018,clean vehicle,42561,red,  kl8cb6sa3jc459211
690,19900,chevrolet,1500,2018,clean vehicle,40345,white,  1gcvkreh3jz272445
691,13000,chevrolet,malibu,2018,clean vehicle,41751,gray,  1g1zd5st8jf242655
692,19700,chevrolet,door,2016,clean vehicle,27593,white,  1gcvkrec0gz118434
693,9400,chevrolet,door,2017,clean vehicle,24009,blue,  1g1be5sm4h7275597
694,23800,chevrolet,1500,2017,clean vehicle,85697,white,  3gcukrecxhg319917
695,17700,chevrolet,equinox,2019,clean vehicle,25223,white,  3gnaxuev8ks588177
696,17000,chevrolet,door,2015,clean vehicle,27927,white,  2g1ff1e3xf9185411
697,14000,chevrolet,door,2014,clean vehicle,135127,red,  3gcpcreh4eg204053
698,32100,chevrolet,2500,2018,clean vehicle,55532,white,  1gc1kvey2jf198038
699,33100,chevrolet,2500,2019,clean vehicle,72172,white,  1gc1ksey8kf114255
700,31600,chevrolet,2500,2018,clean vehicle,57751,white,  1gc1kvey3jf197819
701,5100,chevrolet,door,2013,clean vehicle,96314,gray,  3gnal3ek3ds630172
702,4100,chevrolet,door,2013,clean vehicle,89152,blue,  1g1pa5sgxd7225194
703,7200,chevrolet,door,2014,clean vehicle,114660,silver,  2gnflfek5e6237636
704,12800,chevrolet,1500,2014,clean vehicle,177322,white,  3gcuksej4eg356687
705,46800,chevrolet,1500,2019,clean vehicle,36423,gray,  1gcuyhel9kz240206
706,21800,chevrolet,van,2019,clean vehicle,23759,white,  1gcwgafg7k1222516
707,3000,chevrolet,door,2013,clean vehicle,120667,gray,  1g1jc6sh6d4127084
708,22500,chevrolet,colorado,2017,clean vehicle,65344,red,  1gcgtcen1h1148658
709,35300,chevrolet,suburban,2018,clean vehicle,51347,black,  1gnskhkc5jr243896
710,16500,chevrolet,volt,2017,clean vehicle,52322,black,  1g1rd6s59hu201853
711,33000,chevrolet,door,2017,clean vehicle,67620,black,  1gnskbkc6hr132085
712,31500,chevrolet,1500,2017,clean vehicle,59965,black,  3gcuktec6hg222226
713,34500,chevrolet,1500,2017,clean vehicle,28739,silver,  3gcuksec3hg222744
714,8000,chevrolet,trax,2016,clean vehicle,77429,silver,  kl7cjpsb3gb750120
715,25000,chevrolet,1500,2017,clean vehicle,20847,white,  3gcukrec6hg356561
716,10700,chevrolet,trax,2016,clean vehicle,44280,red,  3gncjnsb1gl264970
717,13400,chevrolet,door,2016,clean vehicle,86031,silver,  2g1145s39g9185641
718,16500,chevrolet,equinox,2019,clean vehicle,7622,gold,  2gnaxhev8k6108774
719,34000,chevrolet,traverse,2019,clean vehicle,8067,white,  1gnevhkw9kj129253
720,14100,chevrolet,trax,2018,clean vehicle,16502,white,  kl7cjpsbxjb710284
721,38600,chevrolet,1500,2019,clean vehicle,20681,black,  1gcuyged0kz114660
722,9100,chevrolet,door,2016,clean vehicle,54655,blue,  1g1pe5sb4g7168780
723,8600,chevrolet,door,2016,clean vehicle,57825,blue,  1g1pe5sb1g7193233
724,22000,chevrolet,door,2016,clean vehicle,58856,white,  3gcpcrec6gg235750
725,8900,chevrolet,colorado,2015,clean vehicle,85072,white,  1gchsaea3f1218425
726,15500,chevrolet,door,2015,clean vehicle,79506,red,  1gcrcpehxfz272176
727,3300,chevrolet,door,2015,clean vehicle,85301,silver,  1g1pg5sbxf7249436
728,29000,chevrolet,1500,2015,clean vehicle,69377,brown,  3gcuksej3fg195122
729,17300,chevrolet,equinox,2020,clean vehicle,15577,black,  3gnaxkev2ll125886
730,30500,chevrolet,traverse,2020,clean vehicle,23470,silver,  1gnerhkw7lj115518
